,industry,job_title,company_name,location,summary,date_posted
15,healthcare,Unit Secretary - NICU,Sutter Health,N/A,"High School Graduate, GED or an equivalent combination of education and experience, plus successful completion of medical terminology course is required.",1 day ago
16,healthcare,(Healthcare) Contracts Administrator 3,UC Davis Health,N/A,"As changes in federal law, state law and University policy occur from time to time, The Administrator monitors contracts to ensure continued compliance.",2 days ago
17,healthcare,Administrative Assistant II-Purchasing,UC Davis Health,N/A,"2 years’ recent experience providing customer service in an administrative capacity- multiline phone, vendor communication, ordering office supplies, filing and…",5 days ago
18,healthcare,Customer Service Representative I,Delta Dental,N/A,"High school graduate with diploma or equivalent.
One year customer service experience within a call center or with related heavy customer contact experience (i…",3 days ago
19,healthcare,Certified Medical Assistants needed ASAP!,visit-healthcare,N/A,"Must be able to give injections.
Training will be done in person and via Zoom and Video Modules.
You will be working in the field 40-50-hour work weeks.",23 days ago
20,healthcare,Patient Services Representative,Sutter Health,N/A,"Requires knowledge of medical and billing terminology.
High school graduate or equivalent required.
The Patient Services Representative accepts patient…",1 day ago
21,healthcare,Receptionist,Western Dental & Orthodontics,N/A,"Respond to patient questions and or concerns according to company Policies.
Some training or experience in using multi-line phones and computers.",8 days ago
22,healthcare,Surgery Scheduling Clerk-R,Methodist Hospital Sacramento,N/A,"The incumbent provides the hospital with a means of scheduling healthcare services for the community and in a manner, which will best serve the patient and…",2 days ago
23,healthcare,Medical Assistant - Grade 180,Kaiser Permanente,N/A,"Manages difficult or conflict situations constructively and seeks appropriate assistance.
Anticipates the customer's needs, takes proactive steps to meet those…",2 days ago
24,healthcare,Front Office Coordinator (Ophthalmology),Sacramento Eye Consultants,N/A,"This is a full-time position and duties include, but are not limited to, checking patients in and out, obtaining and updating demographic and insurance…",4 days ago
25,healthcare,Home Health Agency Scheduler/Staffer,"Top Flight Registry, Inc",N/A,"Create, maintain and organize schedules for home care aides in line with healthcare plans.
Understanding of basic medical terminology.",3 days ago
26,healthcare,Administrative Supervisor 1,UC Davis Health,N/A,"Experience managing radiology digital images desired.
Knowledge of medical terminology, basic human anatomy, UCDH rights regarding requests for information,…",2 days ago
27,healthcare,Ambulatory Care Administrative Coordinator 2-PCN Operations,UC Davis Health,N/A,"Work closely with key executives and staff in coordinating inter-related requirements of meetings, events and travel.",15 days ago
28,healthcare,Insurance Authorization Representative,RadNet,N/A,Answer phones and guide patients through this sometimes difficult process by kindly talking them through the steps and answering their questions and concerns.,30+ days ago
29,healthcare,Front Desk Clerk,Elica Health Centers,N/A,"The employee may be in contact with individuals and families in crisis who may be ill, using substances and/or not attentive to personal health and safety for…",18 days ago
30,healthcare,Transplant Financial Coordinator,UC Davis Health,N/A,"Skill in analyzing a variety of factors (regarding specific program eligibility) determining the need for further facts or administrative consultation, applying…",3 days ago
31,healthcare,Medical Office Representative,Dignity Health Medical Foundation,N/A,"Experience with multi-line phones/ACD phones preferred.
The Medical Office Receptionist position is the first point of phone customer service contact for our…",3 days ago
32,healthcare,Associate Field Service Representative - Northern California - Patient Transport,Stryker,N/A,"High school diploma or equivalent.
Must be 21 years of age and have a valid driver’s license.
Must adhere to Field Service metrics; hours accountability,…",3 days ago
33,healthcare,Patient Registration Representative,Mercy San Juan Medical Center,N/A,"High School diploma, GED or equivalent.
Thorough understanding of insurance policies and procedures, working knowledge of medical terminology.",1 day ago
34,healthcare,Unit Secretary,"Dialysis Clinic, Inc.",N/A,"High school diploma or general education degree (GED) preferred.
Perform duties of receptionist including sorting and distributing mail, answering and routing…",8 days ago
35,healthcare,Care Coordinator,Nivano Physicians,N/A,"High school diploma or equivalent.
High school or equivalent (Preferred).
You will be responsible for consulting with patients and determining their needs,…",5 days ago
36,healthcare,HEDIS Specialist,Nivano Physicians,N/A,"Since 1998, Nivano Physicians has empowered patients and providers with the knowledge, tools, and support they need to enable the right care, delivered at the…",9 days ago
37,healthcare,Front Desk Patient Coordinator,Acupuncture Fertility Specialists,N/A,"We are seeking to hire a Patient Coordinator to run the front office part time.
High school or equivalent (Preferred).
Customer Service: 1 year (Preferred).",4 days ago
38,healthcare,Insurance Verification Representative,A-Line Staffing,"Sacramento, CA","1 year of healthcare experience required.
High school or equivalent (Preferred).
Health benefits after 90 days (medical, dental, vision.",1 day ago
39,healthcare,Call Center Service Representative - Womens Health,WellSpace Health,N/A,"High School diploma, some college preferred OR an equivalent combination of education and experience sufficient to successfully perform the essential duties of…",9 days ago
40,healthcare,Receptionist,VITAS Healthcare,N/A,"Pre-tax healthcare and dependent care flexible spending accounts.
We offer a variety of full-time, part-time and per-diem employment opportunities.",30+ days ago
41,healthcare,Front Desk Receptionist,"Capital OB/GYN, Inc.",N/A,"High school or equivalent (Preferred).
Employee responsibilities will include, but not limited to: the smooth flow of office operation, registering patients,…",1 day ago
42,healthcare,Medical Receptionist/Front Desk,Ottman Eye Group,N/A,"This applicant will be taught scheduling using Centricity/Athena software.
Ottman Eye Group, adheres to COVID-19 safety guidelines while staff and patients are…",30+ days ago
43,healthcare,Patient Service Representative,RadNet,N/A,"We offer career advancement opportunities & benefits including: medical / dental / vision coverage, paid time off, paid holidays, a pre-tax matching 401k plan,…",30+ days ago
44,healthcare,Medical Assistant,Dignity Health Medical Foundation,N/A,"High school diploma (or equivalent) required.
Documenting patient concerns, patient concerns, patient messages, and care provided to the patient in the patient…",2 days ago
45,healthcare,Full Time Medical Assistants - County Corrections,Maxim Healthcare Group,"Sacramento, CA 95814 (Mansion Flats area)","High School diploma or its equivalent.
Relevant certification/ license if applicable.
Maxim’s commitment to customer service, compassionate patient care, and…",9 days ago
46,healthcare,"Unit Secretary / Nursing Assistant, Med/Tele Unit",Sutter Health,N/A,"High School diploma ore equivalent education / experience required.
Successful completion of medical terminology course required.
Hrs Per 2wk Pay Period: 72.",15 days ago
47,healthcare,Patient Care Representative,Children's Choice and Premier Orthodontics,"Sacramento, CA 95834 (Natomas Crossing area)",Organizational Support - Follows policies and procedures; completes administrative task correctly and on time; supports organization's goals and values;…,30+ days ago
48,healthcare,Call Center Representative,"Smiles By Design Dental Group-Encinitas, CA",California,"Respond to high volume inbound calls while compassionately handling questions/concerns.
High school or equivalent (Preferred).",3 days ago
49,healthcare,HEDIS Specialist,Nivano Physicians,N/A,"Since 1998, Nivano Physicians has empowered patients and providers with the knowledge, tools, and support they need to enable the right care, delivered at the…",9 days ago
50,healthcare,Front Desk Patient Coordinator,Acupuncture Fertility Specialists,N/A,"We are seeking to hire a Patient Coordinator to run the front office part time.
High school or equivalent (Preferred).
Customer Service: 1 year (Preferred).",4 days ago
51,healthcare,Ward Clerk,University Retirement Community,N/A,"Working knowledge of common medical terminology preferred.
Residents enjoy comfortable, carefree lifestyles in private, pet-friendly apartment or cottage homes,…",1 day ago
52,healthcare,Call Center Service Representative - Womens Health,WellSpace Health,N/A,"High School diploma, some college preferred OR an equivalent combination of education and experience sufficient to successfully perform the essential duties of…",9 days ago
53,healthcare,Receptionist,VITAS Healthcare,N/A,"Pre-tax healthcare and dependent care flexible spending accounts.
We offer a variety of full-time, part-time and per-diem employment opportunities.",30+ days ago
54,healthcare,Medical Receptionist/Front Desk,Ottman Eye Group,N/A,"This applicant will be taught scheduling using Centricity/Athena software.
Ottman Eye Group, adheres to COVID-19 safety guidelines while staff and patients are…",30+ days ago
55,healthcare,Patient Service Representative,RadNet,N/A,"We offer career advancement opportunities & benefits including: medical / dental / vision coverage, paid time off, paid holidays, a pre-tax matching 401k plan,…",30+ days ago
56,healthcare,Medical Assistant,Dignity Health Medical Foundation,N/A,"High school diploma (or equivalent) required.
Documenting patient concerns, patient concerns, patient messages, and care provided to the patient in the patient…",2 days ago
57,healthcare,Intake Coordinator,Interim HealthCare - Home Health,"Citrus Heights, CA 95610 (Birdcage Heights area)",Actively participates as part of a high-performance work team to drive and manage change to deliver exceptional patient/client service.,30+ days ago
58,healthcare,"Academic Administrative Assistant, Allied Health","Unitek Learning, Inc.",N/A,"Has medical terminology knowledge or work experience in health care.
High school or equivalent certificate.
This position will be coordinating and balancing the…",5 days ago
59,healthcare,Customer Service Representative (February 1),Magellan Health,N/A,Resolves customer administrative concerns as the first line of contact - this may include claim resolutions and other expressions of dissatisfaction.,30+ days ago
60,healthcare,Physician Billing Collector,"American Advanced Management, Inc",N/A,"A high school diploma or General Education Degree (GED) is required.
Maintain regulatory compliance by staying abreast of current trends and regulations in the…",1 day ago
61,healthcare,Receptionist/Office Assistant - Phoenix Park,The John Stewart Company,N/A,"Benefits for Employees who work less than 30 hours/week -.
Benefits for Employees who work 30+ hours/week -.
Matching 401(K) Retirement Savings Plan of up to 2%…",30+ days ago
62,healthcare,Patient Care Coordinator,"ProHealth Home Care, Inc.",N/A,Ability to follow up with hospital case managers to ensure that patients appropriately transition back to hospice/home care..,12 days ago
63,healthcare,Claims Analyst,Centene Corporation,N/A,"High school diploma or equivalent.
Working knowledge of ICD-9, CPT, HCPCs, revenue codes, and medical terminology preferred.",12 days ago
64,healthcare,Referral Coordinator,Elica Health Centers,N/A,"Communicates with clinical staff any issues or any need of further follow up.
Ensure that referrals are addressed in a timely manner.",4 days ago
65,healthcare,Registrar / Specimen Processor,Sutter Health,N/A,"High school diploma or GED.
Post-high school course work related to the medical field (e.g., medical terminology, basic anatomy, physiology, etc) is preferred.",30+ days ago
66,healthcare,Front Office Medical Receptionist,West Sacramento Urgent Care,N/A,"You will welcome guests and greet people who visit the business.
High school degree; additional certification in Office Management is a plus.",7 days ago
67,healthcare,Patient Care Technician (PCT),DaVita,N/A,"High school diploma or equivalent.
Bridge to Your Dreams: Offers high-performing patient care technicians (PCTs) a path to becoming a registered nurse through…",18 days ago
68,healthcare,Secretary Receptionist,Fresenius Medical Care,N/A,Minimum 6 months relevant experience without a degree – 0-6 months experience with an Associate degree or secretarial school.,9 days ago
69,healthcare,Coder I,Dignity Health Medical Group Region,N/A,"High school diploma or equivalent.
The Coder I reviews and processes clinic professional charges for Dignity Health Medical Foundation.",10 days ago
70,healthcare,Dental Front Office,American River Dental,N/A,"And alternating Fri/Sat from 7:30-2:00 (38 hours per week). *.
High school or equivalent (Preferred).
Established busy multi doctor IV sedation practice seeking…",5 days ago
71,healthcare,Medical Scribe,One Community Health - CA,N/A,One Community Health pays about 90% of the Employee only premium and pays 75% of the costs for dependents or partners/spouses.,30+ days ago
72,healthcare,HSS I (Clinic Assistant/Medical Assistant) (NH),Planned Parenthood Mar Monte,N/A,"Graduation from high school in conjunction with a medical assisting certificate.
Responsible for completing all billing tasks and corrections within 72 hours of…",2 days ago
73,healthcare,Data Entry/Billing Clerk - Behavioral Health,WellSpace Health,N/A,"Must have valid driver’s license and insurable driving record.
Individuals who identify themselves in personal recovery are requested to have a minimum of three…",30+ days ago
74,healthcare,Clinical Applications Professional 4 - Epic Beaker,UC Davis Health,N/A,"Support duties include on-call rotation during and after business hours, troubleshooting application and integration related issues, creating or participating…",30+ days ago
75,healthcare,Office Receptionist/Chiropractic Assistant,Backs In Motion ChiroSpa,N/A,"Employee will be responsible for scheduling chiropractic and massage patients, answering multi-line phones, maintaining office cleanliness, minor medical…",6 days ago
76,healthcare,Medical Billing Associate,CareDesk,N/A,CareDesk is a growing Healthcare Management and Billing company looking to add another associate in its Billing and Finance Department.,30+ days ago
77,healthcare,Front Office Specialist- Oral Surgery,GSES,"Sacramento, CA 95834 (Natomas Crossing area)","Focus should be on the patient’s comfort by anticipating their anxieties, responding to questions and/or concerns and placing them at ease.",30+ days ago
78,healthcare,CLINICAL APPLICATIONS TRAINER 3,UC Davis Health,N/A,Over one-year experience in healthcare clinical practice environment including experience with healthcare information systems.,30+ days ago
79,healthcare,Intake Coordinator- Home Health,BLOSSOM RIDGE HOME HEALTH AGENCY LLC,N/A,"The schedule for this position will include weekends, it will be Thursday- Monday.
Medical- 100% medical coverage for the employee only.",18 days ago
80,healthcare,Front Office Receptionist/Scheduler,Lakepoint Dental,N/A,"High school or equivalent (Preferred).
We require at least 1 year of dental office experience and knowledge of Dentrix Software.",1 day ago
81,healthcare,Front Desk Coordinator with Occasional MA Duties,"Body Contour Centers, LLC",N/A,"Introduce visitors to the appropriate personnel that will assist with their concerns.
Print daily close out reports on scheduling system and review for accuracy…",30+ days ago
82,healthcare,Clinic Manager (Prior service/restaurant management experience a plus),Revibe Men's Health,N/A,"Applicants must also have flexibility to occasional added or altered hours as needed to meet the practice needs.
Salary: $55,000-$65,000 (annually)*.",4 days ago
83,healthcare,Sales Assistant - Open Enrollment Scheduler,Delta Dental,N/A,"High school diploma or GED is preferred but candidates with proven experience will not be excluded from consideration.
How you will make an impact:",11 days ago
84,healthcare,Medical Office Assistant,"Examworks Group, Inc.","Sacramento, CA 95825","High school diploma or equivalent required.
Performs clerical duties such as typing, filing, emailing, and proofreading as required.",30+ days ago
85,healthcare,"Medical Assistant, Neuroscience",Sutter Health,N/A,"High school diploma or equivalent.
Proof of graduation from an accredited medical assisting program as well as documented proof of 10 clock hours of injection…",3 days ago
86,healthcare,Administrative Assistant,PBK Architects,N/A,"In this position, you will perform administrative and office support duties including word processing, data entry, the creation and editing of documents in…",25 days ago
87,healthcare,Medical Assistant,One Community Health - CA,N/A,Administer injections and medications as indicated in a written ordered documented in by the provider/nurse practitioner and following the five rights of…,9 days ago
88,healthcare,Credentialing Specialist,Nexus HR Services,N/A,"At least a high school diploma or GED equivalent.
1 year of experience working in the healthcare industry.
The Credentialing Specialist will help Allmed Medical…",30+ days ago
89,healthcare,Front Office Associate - Patient Care Coordinator,Force Healthcare Management LLC,N/A,"Through process management you’ll seamlessly greet clients, obtain their information, answer general questions, and set expectations for their visit.",30+ days ago
90,healthcare,Eligibility Worker for Outreach,Elica Health Centers,N/A,"The Eligibility Worker is responsible to help transition new patients to be a part of Elica Health Centers.
Data entry and other clerical tasks needed.",30+ days ago
91,healthcare,Intake Coordinator- Home Health,BLOSSOM RIDGE HOME HEALTH AGENCY LLC,N/A,"The schedule for this position will include weekends, it will be Thursday- Monday.
Medical- 100% medical coverage for the employee only.",18 days ago
92,healthcare,Intake Coordinator,Interim HealthCare - Home Health,"Citrus Heights, CA 95610 (Birdcage Heights area)",Actively participates as part of a high-performance work team to drive and manage change to deliver exceptional patient/client service.,30+ days ago
93,healthcare,Front Office Receptionist/Scheduler,Lakepoint Dental,N/A,"High school or equivalent (Preferred).
We require at least 1 year of dental office experience and knowledge of Dentrix Software.",1 day ago
94,healthcare,Front Desk Coordinator with Occasional MA Duties,"Body Contour Centers, LLC",N/A,"Introduce visitors to the appropriate personnel that will assist with their concerns.
Print daily close out reports on scheduling system and review for accuracy…",30+ days ago
95,healthcare,Clinic Manager (Prior service/restaurant management experience a plus),Revibe Men's Health,N/A,"Applicants must also have flexibility to occasional added or altered hours as needed to meet the practice needs.
Salary: $55,000-$65,000 (annually)*.",4 days ago
96,healthcare,Sales Assistant - Open Enrollment Scheduler,Delta Dental,N/A,"High school diploma or GED is preferred but candidates with proven experience will not be excluded from consideration.
How you will make an impact:",11 days ago
97,healthcare,"Medical Assistant, Neuroscience",Sutter Health,N/A,"High school diploma or equivalent.
Proof of graduation from an accredited medical assisting program as well as documented proof of 10 clock hours of injection…",3 days ago
98,healthcare,Administrative Assistant,PBK Architects,N/A,"In this position, you will perform administrative and office support duties including word processing, data entry, the creation and editing of documents in…",25 days ago
99,healthcare,Medical Assistant,One Community Health - CA,N/A,Administer injections and medications as indicated in a written ordered documented in by the provider/nurse practitioner and following the five rights of…,9 days ago
100,healthcare,Credentialing Specialist,Nexus HR Services,N/A,"At least a high school diploma or GED equivalent.
1 year of experience working in the healthcare industry.
The Credentialing Specialist will help Allmed Medical…",30+ days ago
101,healthcare,Medical Office Assistant,"Examworks Group, Inc.","Sacramento, CA 95825","High school diploma or equivalent required.
Performs clerical duties such as typing, filing, emailing, and proofreading as required.",30+ days ago
102,healthcare,Front Office Specialist- Oral Surgery,GSES,"Sacramento, CA 95834 (Natomas Crossing area)","Focus should be on the patient’s comfort by anticipating their anxieties, responding to questions and/or concerns and placing them at ease.",30+ days ago
103,healthcare,Clinic Billing Specialist,Luna,N/A,"One year healthcare collection experience, preferred.
Now, patients have greater access to care, and therapists have the autonomy and flexibility they need to…",11 days ago
104,healthcare,Front Office Associate - Patient Care Coordinator,Force Healthcare Management LLC,N/A,"Through process management you’ll seamlessly greet clients, obtain their information, answer general questions, and set expectations for their visit.",30+ days ago
105,healthcare,Eligibility Worker for Outreach,Elica Health Centers,N/A,"The Eligibility Worker is responsible to help transition new patients to be a part of Elica Health Centers.
Data entry and other clerical tasks needed.",30+ days ago
106,healthcare,Billing Associate,Nexus HR Services,N/A,"The Billing Associate will work closely with the remote Medical Biller to better facilitate billing concerns for the clinic.
$15 to $18 per hour.",30+ days ago
107,healthcare,Customer Service Specialist I_OPS,Versant Health,N/A,"High school graduate or equivalent is mandatory.
Provide timely feedback to the company regarding customer service failures and/or customer/provider concerns.",30+ days ago
108,healthcare,"Pharmacy Rebate Billing Specialist, Medi",Magellan Health,N/A,"Research and resolve questions, complaints and grievances and ensure information in all databases is accurate and properly configured to support operations and…",22 days ago
109,healthcare,Medical Office Assistant,"Examworks Group, Inc.","Sacramento, CA 95825","High school diploma or equivalent required.
Performs clerical duties such as typing, filing, emailing, and proofreading as required.",30+ days ago
110,healthcare,Intake Coordinator,Interim HealthCare - Home Health,"Citrus Heights, CA 95610 (Birdcage Heights area)",Actively participates as part of a high-performance work team to drive and manage change to deliver exceptional patient/client service.,30+ days ago
111,healthcare,Customer Service Representative (Call Center),Nexus HR Services,N/A,"At least 1-year of experience in healthcare customer service.
Manning the phone lines; answering calls from clients/customers.",30+ days ago
112,healthcare,Customer Service Representative (December),Magellan Health,N/A,Resolves customer administrative concerns as the first line of contact - this may include claim resolutions and other expressions of dissatisfaction.,30+ days ago
113,healthcare,Credentialing Specialist,WellSpace Health,N/A,"Assists with the ongoing development and implementation of policies and procedures that guide and support the provision of services.
10 paid holidays per year.",30+ days ago
114,healthcare,Practice Manager,Aspen Dental,N/A,"Team Development - Onboarding new team members to ensure full understanding of cultural and job expectations.
Operating Results- Understanding and communicating…",30+ days ago
115,healthcare,Physical Therapy Front Desk Receptionist,Campus Commons Physical Therapy,N/A,"High school or equivalent (Preferred).
Experience: * Requires experience in a healthcare setting providing patient registration and insurance authorization with…",16 days ago
116,healthcare,Scheduler Home Health,"Advanced Home Health & Hospice, and Excelin Agency",N/A,"Will be integral part of the Scheduling & Intake team.
Qualified candidates MUST have high volume and centralized medical scheduling experience.",10 days ago
117,healthcare,Practice Development Manager I- Northern California/Idaho,Abbvie,N/A,"Maintaining compliance with all applicable quality and regulatory guidelines as an integral part of business operations.
Bachelor’s degree or higher required.",8 days ago
118,healthcare,Medical Receptionist,Sacramento Bariatric Medical Associates,N/A,"Willing to train the right individual who actually wants to work and progress in their position!
Above average computer skills, an understanding of medical…",3 days ago
119,healthcare,Front Office Specialist- Oral Surgery,GSES,"Sacramento, CA 95834 (Natomas Crossing area)","Focus should be on the patient’s comfort by anticipating their anxieties, responding to questions and/or concerns and placing them at ease.",30+ days ago
120,healthcare,Medical Assistant I (MA I) - Adult IV Infusion Center,UC Davis Health,N/A,"At least 6 months of recent MA experience in an outpatient setting or recent UCDH externship.
Must be willing to work variable days (including weekends), hours…",30+ days ago
121,healthcare,Intake Coordinator,Interim HealthCare - Home Health,"Citrus Heights, CA 95610 (Birdcage Heights area)",Actively participates as part of a high-performance work team to drive and manage change to deliver exceptional patient/client service.,30+ days ago
122,healthcare,Front Desk Receptionist - Medical,WellSpace Health,N/A,"Greet patients and visitors, answer questions and provide assistance and directions as neccesary.
Must have valid driver’s license and insurable driving record.",16 days ago
123,healthcare,Medical Assistant Instructor,National Career Education,N/A,"G. Adhere to all safety requirements instituted by the school in accordance with CalOSHA standards, including reviewing of Material Safety Data Sheets (MSDS)…",16 days ago
124,healthcare,Medical Billing,United Surgical Partners International Inc (USPI),N/A,"Experience and/or Education: Shall be a high school graduate.
Follows employee health, safety, personnel, and staffing policies.",30+ days ago
125,healthcare,Behavioral Health Quality Improvement Coordinator,WellSpace Health,N/A,"Knowledge of various behavioral health terminology, and office practices and procedures.
Must have valid driver’s license and insurable driving record.",30+ days ago
126,healthcare,Receptionist,"Examworks Group, Inc.",N/A,"High school diploma or equivalent required.
Must demonstrate exceptional communication skills by conveying necessary information accurately, listening…",15 days ago
127,healthcare,CNA LVN LPN Medical Assistant Phlebotomist,Acestack LLC,N/A,"Must have reliable transportation and current/valid Driver License.
Candidates will be trained and certified through the CDC.",30+ days ago
128,healthcare,Patient Coordinator,Now Optics,N/A,"Work hours will be determined based on business needs.
In this position, you will provide outstanding customer service to all patients while facilitating sales…",30+ days ago
129,healthcare,Dialysis Patient Care Technician (PCT),DaVita,N/A,"High school diploma or equivalent.
Reimbursement for your Certified Hemodialysis Technician (CHT) license.
Building long-term relationships with your patients…",30+ days ago
130,healthcare,Front Office Specialist- Oral Surgery,GSES,"Sacramento, CA 95834 (Natomas Crossing area)","Focus should be on the patient’s comfort by anticipating their anxieties, responding to questions and/or concerns and placing them at ease.",30+ days ago
131,healthcare,Patient Care Coordinator,Smile Brands,N/A,"Booking appointments, answering general questions, and other associated support.
You’ll be an important member of the office, acting as the first point of…",10 days ago
132,healthcare,Claims Processor II,Magellan Health,N/A,"Responsible and accountable for the accurate and timely claims processing of all claim types.
Claims must be processed with a high level of detailed quality and…",30+ days ago
133,healthcare,Dental Office Receptionist,Lush Dental Studio,"Sacramento, CA 95834 (RP Sports Complex area)","Open to applicants who do not have a college diploma.
High school or equivalent (Preferred).
We are getting busier and needs some help up front with greeting…",15 days ago
134,healthcare,Physician Biller and Coder,"American Advanced Management, Inc",N/A,"The Physician Billing and Coder must have a high school diploma or equivalent.
Assures codes are supported by provider documentation and initiates queries based…",30+ days ago
135,healthcare,Associate Medical Billing and Insurance Coding Instructor,Iec Aai Holdings Inc,"Sacramento, CA 95823 (Parkway area)",What We Offer: We are a Certified Employee-Owned Company and offer a variety of benefits for full-time and part-time colleagues including a generously matched…,30+ days ago
136,healthcare,Physician Biller and Coder,"American Advanced Management, Inc",N/A,"The Physician Billing and Coder must have a high school diploma or equivalent.
Assures codes are supported by provider documentation and initiates queries based…",30+ days ago
137,healthcare,FILL- IN DENTAL PATIENT SERVICE REPRESENTATIVE,CommuniCare Health Centers,"Davis, CA 95616 (Central Davis area)","Education & Experience: High school diploma with some college coursework preferred.
Fill-in position, 0 - 40 hours/week, Monday through Friday, some evenings…",30+ days ago
138,healthcare,Medical Assistant,WellSpace Health,N/A,"Must have valid driver’s license and insurable driving record.
Follows organizational guidelines for quality and safety as well as adhering to all Patient…",16 days ago
139,healthcare,Recruitment Intake Coordinator,Home Instead Senior Care,N/A,"Must possess a valid driver's license.
High school graduation or the equivalent.
This 30-40 hour per week position involves fielding all incoming CAREGiverSM…",19 days ago
140,healthcare,Medical Front Desk Assistant,AIMS Clinic,N/A,"Your shift could be 9:00am-6:00pm, 8:30am-5:30pm or 8:00am-5:00pm depending on scheduling needs of the Clinic and 1/2 day rotating Saturday Clinic hours .",11 days ago
141,healthcare,Patient Service Representative,Smile Dental Services,N/A,"This is a full-time position at 32 hours per week.
To qualify for this position, a candidate must have a background in dental care and understand dental…",30+ days ago
142,healthcare,Care Coordinator,Elica Health Centers,N/A,"Valid CA driver’s license and proof of personal auto insurance (on the vehicle driven during work hours) required;
Process a minimum of 12 referrals per day;",13 days ago
143,healthcare,Intake Coordinator,Interim HealthCare - Home Health,"Citrus Heights, CA 95610 (Birdcage Heights area)",Actively participates as part of a high-performance work team to drive and manage change to deliver exceptional patient/client service.,30+ days ago
144,healthcare,Practice Manager,APS Medical Billing,N/A,"Primary practice specialties include but not limited to pathology and radiology groups.
Strong understanding of third-party and insurance billing processes …",30+ days ago
145,healthcare,Associate Medical Billing and Insurance Coding Instructor,Iec Aai Holdings Inc,"Sacramento, CA 95823 (Parkway area)",What We Offer: We are a Certified Employee-Owned Company and offer a variety of benefits for full-time and part-time colleagues including a generously matched…,30+ days ago
146,healthcare,Medical Assistant Float,Dignity Health Medical Foundation,N/A,"High school diploma required (or equivalent).
Documenting patient concerns, patient concerns, patient messages, and care provided to the patient in the patient…",10 days ago
147,healthcare,Medical Office Support,Hanger Inc.,N/A,"High school diploma or GED required.
Personable office professional whose strengths include cultural sensitivity and an ability to build rapport with a diverse…",24 days ago
148,healthcare,Medical Receptionist,Sacramento Community Clinic,N/A,"Respond to patient questions and or concerns according to office Policies.
The Medical Office Receptionist perform such duties as: answering phones, checking…",19 days ago
149,healthcare,Front Office Specialist- Oral Surgery,GSES,"Sacramento, CA 95834 (Natomas Crossing area)","Focus should be on the patient’s comfort by anticipating their anxieties, responding to questions and/or concerns and placing them at ease.",30+ days ago
